name,value
South Africa,266.213
New Zealand,169.922
Burundi,2.772
Dominica,0.521
Rwanda,8.490
Turkmenistan,35.398
Kenya,64.688
Portugal,205.085
Afghanistan,17.275
Malaysia,309.262
Niger,7.510
Burkina Faso,11.872
Moldova,6.084
Australia,"1,200.778"
India,"2,288.715"
Austria,384.799
Singapore,294.560
Switzerland,651.770
Uganda,24.995
Kazakhstan,116.151
Armenia,10.774
Netherlands,762.521
Cameroon,30.296
Poland,473.501
Myanmar,74.012
Honduras,20.632
Kiribati,0.159
Luxembourg,60.176
Canada,"1,462.329"
Korea,"1,321.196"
Egypt,n/a
Qatar,170.860
Iraq,148.411
Jordan,39.795
Guyana,3.335
Madagascar,9.524
Slovak Republic,89.797
Nigeria,537.966
St. Kitts and Nevis,0.945
United Arab Emirates,325.135
Central African Republic,1.819
Tajikistan,6.245
Zambia,19.117
Libya,39.315
Lesotho,1.766
Uzbekistan,61.649
Sweden,512.748
Argentina,437.856
Estonia,23.847
Papua New Guinea,15.615
Malta,10.355
Guinea,6.569
Vanuatu,0.799
Lithuania,43.024
Guinea-Bissau,1.136
Belize,1.807
Colombia,253.240
Albania,12.269
Eritrea,5.352
Kuwait,106.212
Gabon,14.166
Mauritius,11.865
Peru,178.643
Benin,9.062
Tonga,0.414
El Salvador,27.327
Grenada,1.000
Mozambique,12.505
Antigua and Barbuda,1.332
Senegal,14.572
Chile,235.419
Zimbabwe,14.659
Lebanon,52.797
Denmark,301.784
Samoa,0.865
Romania,181.944
Venezuela,185.611
Ghana,38.171
Brunei Darussalam,9.097
Serbia,37.381
Brazil,"1,534.782"
Russia,"1,132.739"
United Kingdom,"2,760.959"
Sierra Leone,4.095
Timor-Leste,2.100
Philippines,310.312
Democratic Republic of the Congo,41.207
Bolivia,33.983
Marshall Islands,0.184
Barbados,4.498
Costa Rica,56.908
Djibouti,1.903
Chad,10.096
Ukraine,83.550
Liberia,2.106
Tanzania,45.899
Bulgaria,49.364
Panama,55.755
Togo,4.405
San Marino,1.569
St. Lucia,1.425
Ce d'Ivoire,34.668
Hungary,117.729
S縊 Tomand Pr匤cipe,0.349
Finland,234.578
Vietnam,201.361
Ireland,254.596
Saudi Arabia,618.274
Sudan,93.729
Angola,81.497
Cambodia,19.476
France,"2,464.790"
Puerto Rico,99.710
Mauritania,4.541
Swaziland,3.391
Tunisia,43.989
Republic of Congo,8.364
Trinidad and Tobago,23.816
Indonesia,936.955
Suriname,4.336
Germany,"3,467.780"
Jamaica,14.057
Japan,"4,412.603"
Dominican Republic,71.433
Syria,n/a
Yemen,37.308
Czech Republic,185.269
Haiti,8.160
Hong Kong SAR,322.429
Mali,14.198
Mongolia,11.652
United States,"18,558.129"
South Sudan,3.074
Croatia,49.928
Comoros,0.609
Thailand,409.724
Palau,0.302
Tuvalu,0.032
China,"11,383.033"
Seychelles,1.427
Belarus,45.887
Ethiopia,67.435
Malawi,5.347
Montenegro,4.182
Cabo Verde,1.625
Nepal,21.874
Nicaragua,12.903
Italy,"1,848.691"
Belgium,465.248
Morocco,108.096
The Bahamas,8.917
Oman,51.679
Bangladesh,226.257
Equatorial Guinea,7.884
Norway,366.873
Solomon Islands,1.202
Lao P.D.R.,13.359
Azerbaijan,35.141
St. Vincent and the Grenadines,0.784
Israel,306.194
Kosovo,6.471
Bahrain,30.079
Algeria,165.974
Georgia,13.942
Kyrgyz Republic,6.030
Cyprus,19.795
Pakistan,n/a
Mexico,"1,082.431"
FYR Macedonia,10.424
Turkey,751.186
Uruguay,53.145
Latvia,28.177
Taiwan Province of China,508.849
Islamic Republic of Iran,386.120
Sri Lanka,84.807
Fiji,4.964
The Gambia,0.886
Bosnia and Herzegovina,16.324
Macao SAR,43.623
Namibia,11.210
Micronesia,0.325
Maldives,3.282
Spain,"1,242.356"
Botswana,12.701
Paraguay,26.804
Guatemala,68.142
Iceland,18.633
Ecuador,94.014
Greece,194.594
Bhutan,2.475
Slovenia,43.791
